Date / Time,Temperature [C],DissolvedOxygen [mg/l],Turbidity [NTU],pH [Units],OxidationReductionPotential [mV ],SpecificConductivity [µs/cm]
10/12/2014 21:41,15.03,7.3,10,8.12,542,506
10/12/2014 21:44,15.04,7.21,9.8,8.12,542,507
10/12/2014 21:47,15.04,7.19,9.7,8.12,542,508
10/12/2014 21:50,15.05,7.26,9.4,8.12,542,509
10/12/2014 21:53,15.05,7.27,9.2,8.12,542,509
10/12/2014 21:56,15.04,7.32,8.9,8.12,542,510
10/12/2014 21:59,15.03,7.21,8.9,8.12,542,511
10/12/2014 22:02,15.03,7.28,8.8,8.12,542,512
10/12/2014 22:05,15.04,7.25,8.7,8.12,542,513
10/12/2014 22:08,15.04,7.36,8.8,8.12,542,513
10/12/2014 22:11,15.05,7.3,8.4,8.12,542,514
10/12/2014 22:14,15.05,7.4,8.6,8.12,542,515
10/12/2014 22:17,15.04,7.33,8.5,8.12,542,516
10/12/2014 22:20,15.05,7.32,8.3,8.12,542,517
10/12/2014 22:23,15.04,7.32,8.4,8.12,542,517
10/12/2014 22:26,15.04,7.16,8.3,8.12,543,518
10/12/2014 22:29,15.04,7.32,8.3,8.12,543,519
10/12/2014 22:32,15.04,7.23,8.2,8.12,543,520
10/12/2014 22:35,15.05,7.25,8.6,8.12,543,521
10/12/2014 22:38,15.05,7.29,8.2,8.12,543,522
10/12/2014 22:41,15.05,7.28,8.5,8.12,543,522
10/12/2014 22:44,15.05,7.23,8.2,8.12,543,523
10/12/2014 22:47,15.06,7.23,8.1,8.12,544,525
10/12/2014 22:50,15.06,7.27,8,8.12,543,526
10/12/2014 22:53,15.06,7.25,7.8,8.12,543,526
10/12/2014 22:56,15.06,7.33,8,8.12,543,527
10/12/2014 22:59,15.05,7.22,8,8.12,542,528
10/12/2014 23:02,15.06,7.29,7.9,8.12,542,529
10/12/2014 23:05,15.06,7.23,8,8.12,543,530
10/12/2014 23:08,15.07,7.15,7.9,8.12,543,531
10/12/2014 23:11,15.07,7.31,7.7,8.12,544,531
10/12/2014 23:14,15.07,7.11,7.6,8.12,544,533
10/12/2014 23:17,15.08,7.24,7.6,8.12,544,534
10/12/2014 23:20,15.08,7.3,7.6,8.12,545,535
10/12/2014 23:23,15.08,7.12,7.5,8.12,545,535
10/12/2014 23:26,15.08,7.28,7.9,8.12,545,536
10/12/2014 23:29,15.08,7.28,7.6,8.12,545,537
10/12/2014 23:32,15.08,7.16,7.6,8.12,545,538
10/12/2014 23:35,15.08,7.06,7.4,8.12,546,539
10/12/2014 23:38,15.08,7.24,7.5,8.12,545,539
10/12/2014 23:41,15.07,7.07,7.5,8.12,545,540
10/12/2014 23:44,15.08,7.21,7.4,8.12,546,542
10/12/2014 23:47,15.09,7.17,7.5,8.12,546,543
10/12/2014 23:50,15.09,7.3,7.1,8.12,546,544
10/12/2014 23:53,15.08,7.22,7.2,8.12,546,545
10/12/2014 23:56,15.08,7.13,60.9,8.12,546,545
10/12/2014 23:59,15.08,7.32,6.9,8.12,547,547
10/13/2014 0:02,15.08,7.15,6.9,8.13,547,548
10/13/2014 0:05,15.08,7.12,6.9,8.13,547,549
10/13/2014 0:08,15.08,7.11,7.2,8.13,547,549
10/13/2014 0:11,15.05,7.13,10.1,8.13,547,538
10/13/2014 0:14,14.96,7.29,13.1,8.14,546,513
10/13/2014 0:17,14.93,7.46,14.1,8.13,544,484
10/13/2014 0:20,15.01,7.57,12.7,8.14,539,433
10/13/2014 0:23,15.35,7.51,10.7,8.11,534,400
10/13/2014 0:26,15.44,7.44,11.2,8.08,532,380
10/13/2014 0:29,15.23,7.49,17.1,8.09,528,363
10/13/2014 0:32,15.13,7.57,18.3,8.09,525,374
10/13/2014 0:35,15.09,7.49,18.1,8.08,524,390
10/13/2014 0:38,15.07,7.43,19.3,8.06,524,404
10/13/2014 0:41,15.07,7.43,20.8,8.04,523,412
10/13/2014 0:44,15.07,7.33,22.7,8.04,520,413
10/13/2014 0:47,15.08,7.36,23.9,8.04,517,415
10/13/2014 0:50,15.11,7.33,23.6,8.04,515,423
10/13/2014 0:53,15.12,7.27,22.9,8.04,515,433
10/13/2014 0:56,15.1,7.23,21.5,8.08,514,449
10/13/2014 0:59,15.08,7.27,18.5,8.16,513,468
10/13/2014 1:02,15.07,7.31,17,8.25,496,480
10/13/2014 1:05,15.06,7.38,15.6,8.34,500,490
10/13/2014 1:08,15.05,7.18,14.9,8.38,501,495
10/13/2014 1:11,15.05,7.34,14.2,8.41,502,501
10/13/2014 1:14,15.05,7.3,12.7,8.41,503,505
10/13/2014 1:17,15.05,7.19,12.5,8.39,504,509
10/13/2014 1:20,15.04,7.34,11.8,8.37,506,514
10/13/2014 1:23,15.03,7.22,11.3,8.34,508,516
10/13/2014 1:26,15.02,7.25,10.9,8.31,510,518
10/13/2014 1:29,15.02,7.24,10.8,8.29,511,518
10/13/2014 1:32,15.01,7.25,10.9,8.27,513,515
10/13/2014 1:35,15.01,7.29,11.3,8.25,514,511
10/13/2014 1:38,15.01,7.17,11.8,8.23,516,507
10/13/2014 1:41,15.01,7.18,12.4,8.2,518,500
10/13/2014 1:44,15.02,7.17,13.1,8.18,519,494
10/13/2014 1:47,15.03,7.19,13,8.15,520,491
10/13/2014 1:50,15.04,7.08,13.1,8.14,522,489
10/13/2014 1:53,15.05,7.16,13.1,8.12,523,488
10/13/2014 1:56,15.05,7.1,12.7,8.11,524,490
10/13/2014 1:59,15.05,7.14,12.8,8.1,526,492
10/13/2014 2:02,15.06,7.02,12.3,8.09,526,494
10/13/2014 2:05,15.06,7.06,12.2,8.09,527,498
10/13/2014 2:08,15.06,7.08,12.1,8.08,528,501
10/13/2014 2:11,15.07,7.1,11.5,8.08,529,505
10/13/2014 2:14,15.09,7.04,11.8,8.07,530,509
10/13/2014 2:17,15.09,7.1,11.3,8.07,530,515
10/13/2014 2:20,15.09,7.01,10.6,8.07,531,519
10/13/2014 2:23,15.1,7.03,9.7,8.07,531,523
10/13/2014 2:26,15.1,7.11,9.3,8.07,531,528
10/13/2014 2:29,15.11,6.92,9.5,8.07,531,532
10/13/2014 2:32,15.12,7.11,8.7,8.07,531,536
10/13/2014 2:35,15.12,6.99,8.5,8.07,531,539
10/13/2014 2:38,15.13,6.96,8.1,8.07,531,543
10/13/2014 2:41,15.13,7.03,7.7,8.07,531,546
10/13/2014 2:44,15.13,7.05,7.6,8.08,530,548
10/13/2014 2:47,15.13,7.04,7.7,8.08,530,551
10/13/2014 2:50,15.13,7.05,7.5,8.08,530,553
10/13/2014 2:53,15.13,7.07,7.5,8.08,529,554
10/13/2014 2:56,15.14,6.98,7.3,8.08,530,555
10/13/2014 2:59,15.15,6.99,6.9,8.09,531,556
10/13/2014 3:02,15.15,7.05,7.1,8.08,532,556
10/13/2014 3:05,15.15,7.01,7.3,8.08,532,556
10/13/2014 3:08,15.15,7.08,6.8,8.08,533,556
10/13/2014 3:11,15.15,7.08,7.3,8.08,534,556
10/13/2014 3:14,15.15,7.06,7.5,8.08,534,556
10/13/2014 3:17,15.15,7.12,7.8,8.09,535,555
10/13/2014 3:20,15.15,6.94,9.7,8.09,535,554
10/13/2014 3:23,15.15,7.06,9.9,8.09,535,554
10/13/2014 3:26,15.15,7.06,9.6,8.08,534,553
10/13/2014 3:29,15.16,7.02,9.6,8.08,535,554
10/13/2014 3:32,15.16,6.97,9.4,8.08,535,554
10/13/2014 3:35,15.16,7.07,8.7,8.08,535,553
10/13/2014 3:38,15.16,7,8,8.09,535,554
10/13/2014 3:41,15.16,7.07,7.7,8.08,535,555
10/13/2014 3:44,15.16,7.02,8.3,8.08,533,555
10/13/2014 3:47,15.16,7.05,8.5,8.08,531,556
10/13/2014 3:50,15.17,6.98,8.5,8.09,532,557
10/13/2014 3:53,15.16,7.1,7.9,8.09,532,559
10/13/2014 3:56,15.16,7.07,7.4,8.09,532,560
10/13/2014 3:59,15.15,7.03,7.1,8.09,504,561
10/13/2014 4:02,15.15,6.87,6.5,8.1,514,562
10/13/2014 4:05,15.15,7.03,6.3,8.1,517,563
10/13/2014 4:08,15.15,7.11,6.1,8.1,520,565
10/13/2014 4:11,15.16,7.01,6.3,8.1,521,566
10/13/2014 4:14,15.17,7.02,6.2,8.1,522,568
10/13/2014 4:17,15.17,6.95,6,8.1,524,569
10/13/2014 4:20,15.16,7.08,6,8.1,525,570
10/13/2014 4:23,15.15,7.11,5.9,8.1,505,571
10/13/2014 4:26,15.14,6.99,5.9,8.1,511,572
10/13/2014 4:29,15.15,7.08,5.8,8.11,513,573
10/13/2014 4:32,15.15,7.03,5.8,8.11,515,574
10/13/2014 4:35,15.16,7.01,5.7,8.11,517,575
10/13/2014 4:38,15.16,6.93,5.8,8.11,518,576
10/13/2014 4:41,15.16,7.12,5.6,8.11,519,577
10/13/2014 4:44,15.16,7,5.6,8.11,520,578
10/13/2014 4:47,15.16,7.07,5.5,8.11,521,578
10/13/2014 4:50,15.16,7.1,5.6,8.11,523,579
10/13/2014 4:53,15.16,7.05,5.5,8.11,523,580
10/13/2014 4:56,15.16,7.01,5.6,8.11,524,581
10/13/2014 4:59,15.18,7,5.9,8.11,525,582
10/13/2014 5:02,15.18,7.16,5.3,8.11,525,583
10/13/2014 5:05,15.18,7.06,5.3,8.11,523,584
10/13/2014 5:08,15.18,6.99,5.1,8.11,524,584
10/13/2014 5:11,15.18,7.09,5.5,8.12,523,586
10/13/2014 5:14,15.19,7.07,5.2,8.11,524,587
10/13/2014 5:17,15.18,7.1,5.4,8.11,523,587
10/13/2014 5:20,15.17,7.04,5.1,8.11,523,588
10/13/2014 5:23,15.17,7.11,5.3,8.12,523,589
10/13/2014 5:26,15.17,7.01,5.3,8.12,524,590
10/13/2014 5:29,15.16,6.91,5.3,8.12,524,591
10/13/2014 5:32,15.17,7.03,5,8.12,525,592
10/13/2014 5:35,15.17,7,5.2,8.12,526,592
10/13/2014 5:38,15.18,7,4.9,8.12,525,593
10/13/2014 5:41,15.18,6.96,4.9,8.13,524,594
10/13/2014 5:44,15.18,6.96,4.9,8.13,524,595
10/13/2014 5:47,15.18,7.13,5.6,8.13,524,596
10/13/2014 5:50,15.18,7.08,5.9,8.13,524,596
10/13/2014 5:53,15.18,6.98,6.1,8.13,524,597
10/13/2014 5:56,15.18,6.97,6.2,8.13,525,598
10/13/2014 5:59,15.18,7,5.9,8.13,524,599
10/13/2014 6:02,15.18,6.95,5.6,8.13,524,600
10/13/2014 6:05,15.18,6.99,5.3,8.13,525,601
10/13/2014 6:08,15.17,7.05,5,8.13,526,601
10/13/2014 6:11,15.18,6.97,5,8.13,526,602
10/13/2014 6:14,15.18,6.99,5.1,8.13,527,603
10/13/2014 6:17,15.18,6.98,5,8.13,525,603
10/13/2014 6:20,15.18,7.07,5.1,8.13,524,604
10/13/2014 6:23,15.18,7.19,5.7,8.13,525,605
10/13/2014 6:26,15.19,7.1,6.4,8.14,525,605
10/13/2014 6:29,15.19,6.9,6.3,8.14,525,606
10/13/2014 6:32,15.19,7,6.2,8.13,524,607
10/13/2014 6:35,15.19,7.07,5.7,8.14,523,607
10/13/2014 6:38,15.19,7.1,5.5,8.14,519,608
10/13/2014 6:41,15.19,6.98,5.8,8.14,522,609
10/13/2014 6:44,15.2,7.14,7.1,8.14,524,609
10/13/2014 6:47,15.19,7,7,8.14,524,610
10/13/2014 6:50,15.19,7.12,6.8,8.14,524,610
10/13/2014 6:53,15.19,6.96,6.2,8.14,526,611
10/13/2014 6:56,15.2,7.01,5.9,8.14,523,612
10/13/2014 6:59,15.2,7.07,5.7,8.15,524,612
10/13/2014 7:02,15.21,7.07,5.5,8.15,525,613
10/13/2014 7:05,15.21,7.02,5.8,8.15,524,614
10/13/2014 7:08,15.2,6.92,6,8.15,517,614
10/13/2014 7:11,15.2,7.12,5.7,8.15,520,615
10/13/2014 7:14,15.2,7.01,5.6,8.15,522,616
10/13/2014 7:17,15.21,7.06,5.7,8.15,523,616
10/13/2014 7:20,15.21,7.06,6.6,8.15,522,617
10/13/2014 7:23,15.21,7.02,7,8.15,522,617
10/13/2014 7:26,15.21,7.12,7.4,8.15,522,618
10/13/2014 7:29,15.21,7.08,7.4,8.15,521,619
10/13/2014 7:32,15.21,7.06,7.3,8.15,520,619
10/13/2014 7:35,15.21,7.11,7.3,8.15,522,620
10/13/2014 7:38,15.22,6.99,7.9,8.16,524,620
10/13/2014 7:41,15.22,6.97,7,8.15,526,621
10/13/2014 7:44,15.22,6.97,7.1,8.15,526,622
10/13/2014 7:47,15.22,7.03,9.2,8.15,520,622
10/13/2014 7:50,15.23,7.07,10.4,8.15,521,623
10/13/2014 7:53,15.23,6.95,9.5,8.15,522,623
10/13/2014 7:56,15.24,6.98,9.1,8.15,519,624
10/13/2014 7:59,15.23,6.93,8.9,8.15,522,624
10/13/2014 8:02,15.23,7.06,7.4,8.15,522,625
10/13/2014 8:05,15.23,7.06,6.5,8.15,522,625
10/13/2014 8:08,15.23,6.99,5.8,8.15,524,625
10/13/2014 8:11,15.23,7.09,5.2,8.15,525,626
10/13/2014 8:14,15.23,7.14,5,8.16,526,627
10/13/2014 8:17,15.24,7.04,5,8.15,525,627
10/13/2014 8:20,15.24,6.99,4.9,8.15,526,627
10/13/2014 8:23,15.24,7.02,4.8,8.15,526,627
10/13/2014 8:26,15.25,6.99,5.5,8.15,526,628
10/13/2014 8:29,15.25,7.05,6,8.15,525,628
10/13/2014 8:32,15.26,7.05,6.2,8.15,526,628
10/13/2014 8:35,15.25,6.99,6.3,8.15,525,629
10/13/2014 8:38,15.24,7.08,6.2,8.15,526,629
10/13/2014 8:41,15.24,6.98,6.2,8.16,527,630
10/13/2014 8:44,15.24,6.95,6,8.16,526,630
10/13/2014 8:47,15.24,7.01,5.4,8.16,527,630
10/13/2014 8:50,15.25,7.06,5.5,8.16,525,630
10/13/2014 8:53,15.25,7.09,5.3,8.16,526,631
10/13/2014 8:56,15.25,7.1,5.1,8.16,523,631
10/13/2014 8:59,15.25,6.94,4.8,8.16,524,632
10/13/2014 9:02,15.26,7.01,4.4,8.17,526,632
10/13/2014 9:05,15.27,7.01,4.3,8.16,526,632
10/13/2014 9:08,15.27,7.04,4.3,8.16,526,633
10/13/2014 9:11,15.27,6.93,4,8.16,527,633
10/13/2014 9:14,15.27,6.98,4.3,8.16,524,634
10/13/2014 9:17,15.28,7.04,4,8.16,525,634
10/13/2014 9:20,15.28,7.04,4.2,8.16,526,634
10/13/2014 9:23,15.28,7.02,4.2,8.17,526,633
10/13/2014 9:26,15.27,7.17,4.5,8.17,526,630
10/13/2014 9:29,15.25,7.11,9.2,8.16,525,618
10/13/2014 9:32,15.22,7.22,14.2,8.16,524,591
10/13/2014 9:35,15.26,7.27,14.1,8.16,524,573
10/13/2014 9:38,15.34,7.24,14.1,8.15,524,548
10/13/2014 9:41,15.66,7.11,12.2,8.12,524,515
10/13/2014 9:44,15.78,7.08,11.7,8.11,524,484
10/13/2014 9:47,15.71,7.24,22.1,8.11,524,467
10/13/2014 9:50,15.66,7.22,31,8.11,523,461
10/13/2014 9:53,15.6,7.24,34,8.11,523,463
10/13/2014 9:56,15.57,7.3,34.1,8.11,521,470
10/13/2014 9:59,15.55,7.2,36.9,8.09,519,472
10/13/2014 10:02,15.54,7.15,40.8,8.09,516,476
10/13/2014 10:05,15.54,7.12,41.6,8.09,513,483
10/13/2014 10:08,15.55,7.15,40.9,8.08,510,485
10/13/2014 10:11,15.53,7.11,40.1,8.07,509,489
10/13/2014 10:14,15.52,7.01,40,8.07,509,494
10/13/2014 10:17,15.5,7.23,36.8,8.07,509,500
10/13/2014 10:20,15.47,7.19,34.6,8.08,507,509
10/13/2014 10:23,15.45,7.2,30.2,8.09,508,518
10/13/2014 10:26,15.43,7.16,27.6,8.1,507,529
10/13/2014 10:29,15.41,7.23,24,8.12,508,536
10/13/2014 10:32,15.4,7.14,21.8,8.13,508,544
10/13/2014 10:35,15.38,7.24,19.3,8.15,508,552
10/13/2014 10:38,15.36,7.22,17.1,8.17,508,559
10/13/2014 10:41,15.34,7.33,16.1,8.2,508,566
10/13/2014 10:44,15.32,7.34,14.5,8.22,508,572
10/13/2014 10:47,15.31,7.33,13.3,8.23,508,573
10/13/2014 10:50,15.31,7.3,12.8,8.23,509,573
10/13/2014 10:53,15.31,7.45,13.2,8.24,510,571
10/13/2014 10:56,15.31,7.26,13.6,8.24,510,566
10/13/2014 10:59,15.32,7.32,14.6,8.23,511,559
10/13/2014 11:02,15.33,7.37,15.5,8.22,512,552
10/13/2014 11:05,15.35,7.3,16,8.21,512,547
10/13/2014 11:08,15.36,7.16,16.2,8.2,514,543
10/13/2014 11:11,15.38,7.21,16.9,8.19,515,539
10/13/2014 11:14,15.4,7.22,16.4,8.18,515,538
10/13/2014 11:17,15.41,7.23,15.8,8.17,516,537
10/13/2014 11:20,15.43,7.18,15.5,8.16,517,538
10/13/2014 11:23,15.45,7.14,15.1,8.15,518,540
10/13/2014 11:26,15.46,7.1,14.4,8.14,519,542
10/13/2014 11:29,15.48,7.17,14,8.13,519,546
10/13/2014 11:32,15.49,7.14,13.2,8.13,520,550
10/13/2014 11:35,15.5,7.14,12.5,8.12,521,554
10/13/2014 11:38,15.52,7.07,11.8,8.12,522,558
10/13/2014 11:41,15.54,7.11,11.3,8.11,522,563
10/13/2014 11:44,15.56,7.2,11,8.11,522,566
10/13/2014 11:47,15.56,7.05,10.3,8.11,522,569
10/13/2014 11:50,15.57,7.04,11,8.1,523,573
10/13/2014 11:53,15.58,6.94,11.7,8.1,523,576
10/13/2014 11:56,15.6,6.93,11.5,8.1,523,579
10/13/2014 11:59,15.61,6.89,11.8,8.1,523,581
10/13/2014 12:02,15.62,7.03,12.5,8.1,524,583
10/13/2014 12:05,15.64,7.09,11.9,8.1,524,585
10/13/2014 12:08,15.65,7.13,10.7,8.1,524,586
10/13/2014 12:11,15.66,6.96,9.8,8.1,524,587
10/13/2014 12:14,15.68,7.14,8.7,8.1,524,588
10/13/2014 12:17,15.69,6.86,8.6,8.1,525,589
10/13/2014 12:20,15.71,7.08,8.9,8.1,524,589
10/13/2014 12:23,15.72,7.1,9.5,8.1,525,589
10/13/2014 12:26,15.73,7.09,8.8,8.11,525,589
10/13/2014 12:29,15.75,7.16,9,8.14,525,589
10/13/2014 12:32,15.77,7.03,8.6,8.21,524,590
10/13/2014 12:35,15.78,7.15,8.3,8.25,523,589
10/13/2014 12:38,15.8,6.89,8.5,8.26,521,589
10/13/2014 12:41,15.81,7.08,8.9,8.25,521,589
10/13/2014 12:44,15.83,7.04,8.6,8.23,522,590
10/13/2014 12:47,15.84,6.88,8.6,8.21,522,592
10/13/2014 12:50,15.86,7.11,8.2,8.19,523,594
10/13/2014 12:53,15.87,7.01,8.2,8.18,523,595
10/13/2014 12:56,15.89,6.95,7.9,8.16,524,596
10/13/2014 12:59,15.91,6.95,7.7,8.15,525,596
10/13/2014 13:02,15.92,7.04,7.3,8.14,525,597
10/13/2014 13:05,15.93,6.92,7.3,8.13,526,597
10/13/2014 13:08,15.93,7.07,7.5,8.13,527,597
10/13/2014 13:11,15.94,7.03,7.4,8.12,527,596
10/13/2014 13:14,15.95,7.07,6.9,8.12,528,596
10/13/2014 13:17,15.98,7,6.7,8.11,528,596
10/13/2014 13:20,16,7.03,6.6,8.11,529,597
10/13/2014 13:23,16,6.88,6.2,8.1,529,599
10/13/2014 13:26,16.02,6.97,6.1,8.1,530,602
10/13/2014 13:29,16.03,6.94,5.8,8.09,530,607
10/13/2014 13:32,16.05,7.06,5.8,8.09,531,611
10/13/2014 13:35,16.06,7.01,5.7,8.08,531,621
10/13/2014 13:38,16.08,6.97,5.7,8.05,532,646
10/13/2014 13:41,16.12,6.98,6.5,7.92,535,718
10/13/2014 13:44,16.18,6.98,7.5,7.66,524,828
10/13/2014 13:47,16.23,6.93,9.2,7.4,469,910
10/13/2014 13:50,16.28,7,10.5,7.22,433,945
10/13/2014 13:53,16.32,6.94,10.8,7.15,419,938
10/13/2014 13:56,16.35,6.98,10.8,7.12,415,914
10/13/2014 13:59,16.36,7.01,10.5,7.11,413,887
10/13/2014 14:02,16.36,6.94,9.9,7.1,416,874
10/13/2014 14:05,16.36,6.8,9.6,7.06,412,866
10/13/2014 14:08,16.36,6.83,9.6,7.03,413,864
10/13/2014 14:11,16.37,6.84,9.1,6.99,411,860
10/13/2014 14:14,16.35,6.91,8.7,7.01,411,838
10/13/2014 14:17,16.34,6.81,8.3,7.07,415,811
10/13/2014 14:20,16.32,6.98,7.8,7.16,412,778
10/13/2014 14:23,16.3,6.84,6.8,7.26,418,751
10/13/2014 14:26,16.29,6.95,6.4,7.34,423,736
10/13/2014 14:29,16.28,6.81,6.3,7.39,426,728
10/13/2014 14:32,16.27,6.87,6.1,7.4,425,728
10/13/2014 14:35,16.26,6.89,6.4,7.4,427,730
10/13/2014 14:38,16.25,6.83,6.6,7.39,425,736
10/13/2014 14:41,16.25,6.92,6.7,7.37,422,745
10/13/2014 14:44,16.25,6.86,7.1,7.33,417,757
10/13/2014 14:47,16.25,6.86,8,7.25,409,785
10/13/2014 14:50,16.25,6.96,9.1,7.09,403,838
10/13/2014 14:53,16.27,6.92,10.9,6.83,407,914
10/13/2014 14:56,16.29,6.9,12.8,6.5,422,1008
10/13/2014 14:59,16.31,6.8,14,6.05,453,1074
10/13/2014 15:02,16.34,6.86,14.2,5.05,548,1312
10/13/2014 15:05,16.37,6.91,15.6,3.71,658,1536
10/13/2014 15:08,16.39,6.62,15.8,3.32,679,1791
10/13/2014 15:11,16.4,6.67,15.4,3.12,689,1937
10/13/2014 15:14,16.43,6.63,14.8,2.99,694,1987
10/13/2014 15:17,16.44,6.87,14.4,2.89,698,2029
10/13/2014 15:20,16.45,6.85,13.7,2.8,702,2029
10/13/2014 15:23,16.46,6.78,13.5,2.81,702,2010
10/13/2014 15:26,16.48,6.67,13.1,2.84,703,1993
10/13/2014 15:29,16.49,6.8,12.2,2.82,699,1897
10/13/2014 15:32,16.5,6.79,11.2,2.86,697,1828
10/13/2014 15:35,16.49,6.79,10.5,2.92,694,1737
10/13/2014 15:38,16.5,6.83,9.5,3.01,690,1569
10/13/2014 15:41,16.51,6.82,8.8,3.14,682,1392
10/13/2014 15:44,16.5,6.81,8.1,3.34,671,1212
10/13/2014 15:47,16.48,6.71,7.4,3.87,632,1006
10/13/2014 15:50,16.47,6.71,7.1,4.84,567,906
10/13/2014 15:53,16.45,6.93,6.8,5.86,531,844
10/13/2014 15:56,16.45,6.8,6.6,6.16,515,820
10/13/2014 15:59,16.44,6.82,6,6.49,501,786
10/13/2014 16:02,16.44,6.89,5.8,6.67,492,767
10/13/2014 16:05,16.44,6.89,5.7,6.81,486,756
10/13/2014 16:08,16.44,6.87,5.8,6.91,478,743
10/13/2014 16:11,16.45,6.89,5.6,7.03,478,739
10/13/2014 16:14,16.44,7.04,5.4,7.13,474,722
10/13/2014 16:17,16.43,6.97,5.4,7.2,475,716
10/13/2014 16:20,16.43,6.98,5.4,7.28,475,708
10/13/2014 16:23,16.43,7,5.7,7.35,479,702
10/13/2014 16:26,16.44,6.93,4.6,7.41,471,700
10/13/2014 16:29,16.44,6.97,4.6,7.47,477,694
10/13/2014 16:32,16.45,6.87,4.8,7.51,483,691
10/13/2014 16:35,16.45,6.96,4.4,7.56,483,689
10/13/2014 16:38,16.45,6.96,4.3,7.6,487,686
10/13/2014 16:41,16.46,6.94,4.3,7.63,490,684
10/13/2014 16:44,16.47,6.87,4,7.67,492,682
10/13/2014 16:47,16.48,6.82,4.1,7.71,491,680
10/13/2014 16:50,16.48,6.98,4,7.73,491,678
10/13/2014 16:53,16.49,6.89,3.8,7.78,494,677
10/13/2014 16:56,16.5,6.87,3.9,7.81,497,675
10/13/2014 16:59,16.5,6.92,3.9,7.84,502,675
10/13/2014 17:02,16.5,7.02,3.8,7.87,504,674
10/13/2014 17:05,16.5,6.95,3.9,7.88,503,672
10/13/2014 17:08,16.5,6.87,3.5,7.91,505,672
10/13/2014 17:11,16.51,6.9,3.6,7.93,507,671
10/13/2014 17:14,16.51,6.9,3.5,7.94,507,670
10/13/2014 17:17,16.51,6.88,3.7,7.97,507,670
10/13/2014 17:20,16.51,6.98,3.6,7.99,510,669
10/13/2014 17:23,16.51,6.88,3.6,8,511,669
10/13/2014 17:26,16.51,6.94,3.7,8.02,511,668
10/13/2014 17:29,16.51,6.97,3.6,8.03,511,668
10/13/2014 17:32,16.51,6.94,3.6,8.04,510,668
10/13/2014 17:35,16.51,6.96,3.4,8.06,507,668
10/13/2014 17:38,16.51,6.87,3.4,8.06,508,668
10/13/2014 17:41,16.5,6.86,3.6,8.07,508,667
10/13/2014 17:44,16.5,6.88,3.6,8.08,506,668
10/13/2014 17:47,16.5,6.76,3.5,8.09,508,668
10/13/2014 17:50,16.5,6.83,3.5,8.1,508,668
10/13/2014 17:53,16.5,6.84,3.5,8.11,506,669
10/13/2014 17:56,16.5,6.98,3.6,8.11,507,668
10/13/2014 17:59,16.5,6.86,3.7,8.11,503,668
10/13/2014 18:02,16.49,6.94,3.6,8.12,502,669
10/13/2014 18:05,16.48,6.89,3.5,8.12,503,669
10/13/2014 18:08,16.48,6.89,3.6,8.13,503,669
10/13/2014 18:11,16.47,6.98,3,8.13,504,669
10/13/2014 18:14,16.47,6.92,3.5,8.14,497,669
10/13/2014 18:17,16.46,6.94,3.6,8.13,497,669
10/13/2014 18:20,16.46,6.98,3.7,8.14,495,669
10/13/2014 18:23,16.45,6.94,3.6,8.14,496,670
10/13/2014 18:26,16.45,6.74,3.6,8.14,498,670
10/13/2014 18:29,16.44,6.81,3.6,8.15,497,671
10/13/2014 18:32,16.45,6.92,3.5,8.15,496,671
10/13/2014 18:35,16.44,6.8,3.6,8.15,494,671
10/13/2014 18:38,16.43,6.89,3.4,8.16,492,672
10/13/2014 18:41,16.44,6.99,1645,8.16,494,672
10/13/2014 18:44,16.43,6.82,3.6,8.17,495,672
10/13/2014 18:47,16.43,6.96,3.7,8.16,495,672
10/13/2014 18:50,16.42,6.86,3.6,8.17,496,672
10/13/2014 18:53,16.42,6.86,3.7,8.17,498,672
10/13/2014 18:56,16.41,6.81,4.1,8.17,500,673
10/13/2014 18:59,16.41,6.91,3.8,8.18,500,673
10/13/2014 19:02,16.41,6.99,3.6,8.18,495,673
10/13/2014 19:05,16.4,6.9,3.8,8.18,499,673
10/13/2014 19:08,16.4,6.82,3.6,8.18,492,673
10/13/2014 19:11,16.39,6.81,3.7,8.18,495,673
10/13/2014 19:14,16.39,6.91,3.7,8.18,491,674
10/13/2014 19:17,16.39,6.79,4.4,8.19,494,674
10/13/2014 19:20,16.38,6.86,4.9,8.19,491,675
10/13/2014 19:23,16.38,6.88,4.6,8.19,486,675
10/13/2014 19:26,16.38,6.71,4.8,8.19,485,675
10/13/2014 19:29,16.37,6.86,4.7,8.19,487,675
10/13/2014 19:32,16.37,6.83,4.3,8.19,490,675
10/13/2014 19:35,16.37,6.82,4.2,8.19,492,675
10/13/2014 19:38,16.36,6.9,4.1,8.19,494,675
10/13/2014 19:41,16.35,6.82,4.1,8.2,494,676
10/13/2014 19:44,16.35,6.93,4,8.2,494,676
10/13/2014 19:47,16.35,6.86,4.1,8.19,493,676
10/13/2014 19:50,16.35,6.78,3.8,8.2,493,676
10/13/2014 19:53,16.34,6.85,3.8,8.2,492,676
10/13/2014 19:56,16.34,6.9,4,8.2,494,677
10/13/2014 19:59,16.33,6.93,3.7,8.2,496,677
10/13/2014 20:02,16.33,6.79,3.6,8.2,496,677
10/13/2014 20:05,16.32,6.91,3.8,8.2,496,677
10/13/2014 20:08,16.32,6.88,3.7,8.2,494,677
10/13/2014 20:11,16.32,6.85,3.8,8.2,492,678
10/13/2014 20:14,16.31,6.75,3.7,8.2,494,678
